CAT,N. Gara,Data,Ora,Squadra A,Separatore,Squadra B,PALESTRA,NOTE,SetA_Vinti,SetB_Vinti,1_SET_PTS_A,1_SET_PTS_B,2_SET_PTS_A,2_SET_PTS_B,3_SET_PTS_A,3_SET_PTS_B,4_SET_PTS_A,4_SET_PTS_B,5_SET_PTS_A,5_SET_PTS_B
4+2,730168,mer 04 /03/ 26,ore 21.00,T.V.M.21 - Schiacciami Ancora,-,Sinapsi,"Scuola Colombo, Piazzetta Jona 4, TO - Max 3 ospiti a squadra",,,,,,,,,,,,,
4+2,730169,lun 26 /01/ 26,ore 21.30,Virtus Gialla,-,Kolbe GEN-YZ,Via Trieste 1 - Volpiano,,,,,,,,,,,,,
4+2,730170,gio 05 /03/ 26,ore 21.00,ASD Airasca Longobarda,-,ASD Patr. San Giuseppe,"Pal. scuola primaria, Via Torino,13 - Castagnole Piemonte ",No pubblico,,,,,,,,,,,,

4+2,730171,gio 12 /03/ 26,ore 21.00,ASD Airasca Longobarda,-,San Luigi Santena,"Pal. scuola primaria, Via Torino,13 - Castagnole Piemonte No pubblico",,,,,,,,,,,,,
4+2,730172,mar 10 /03/ 26,ore 21.00,ASD Patr. San Giuseppe,-,Virtus Gialla,"Via Pietro Baiardi 4, Torino",,,,,,,,,,,,,
4+2,730173,dom 15 /03/ 26,ore 20.45,Kolbe GEN-YZ,-,T.V.M.21 - Schiacciami Ancora,Palestra Aprica via Bard 39 Torino,,,,,,,,,,,,,
4+2,730174,mer 11 /03/ 26,ore 21.30,Sinapsi,-,Frassati Valle Sauglio,Pal. Com. - Piazza della Concordia Givoletto TO ingresso retro pal.,,,,,,,,,,,,,
4+2,730175,gio 12 /03/ 26,ore 21.20,Frassati S.Carlo,-,Banane Magiche,Palavauda -Viale Europa - Vauda C.se ingresso H 20.30,,,,,,,,,,,,,

4+2,730176,mar 17 /03/ 26,ore 21.30,San Luigi Santena,-,Frassati S.Carlo,"Pal. Oratorio S.Luigi Santena via Vittorio Veneto,31 ingresso da via Milite Ignoto",,,,,,,,,,,,,
4+2,730177,mar 17 /03/ 26,ore 20.30,Banane Magiche,-,Sinapsi,"Strada Contessa,90 Caselette",,,,,,,,,,,,,
4+2,730178,gio 19 /03/ 26,ore 21.00,Frassati Valle Sauglio,-,Kolbe GEN-YZ,"Ist. Flora Manfrinati - Str. Revigliasco, 69 - Moncalieri TO",,,,,,,,,,,,,
4+2,730179,mer 18 /03/ 26,ore 21.00,T.V.M.21 - Schiacciami Ancora,-,ASD Patr. San Giuseppe,"Scuola Colombo, Piazzetta Jona 4, TO ",Max 3 ospiti a squadra,,,,,,,,,,,,
4+2,730180,mer 18 /03/ 26,ore 21.30,Virtus Gialla,-,ASD Airasca Longobarda,Via Trieste 1 - Volpiano,,,,,,,,,,,,,

4+2,730181,lun 23 /03/ 26,ore 21.30,Virtus Gialla,-,San Luigi Santena,Via Trieste 1 - Volpiano,,,,,,,,,,,,,
4+2,730182,gio 26 /03/ 26,ore 21.00,ASD Airasca Longobarda,-,T.V.M.21 - Schiacciami Ancora,"Pal. scuola primaria, Via Torino,13 - Castagnole Piemonte No pubblico",,,,,,,,,,,,,
4+2,730183,gio 26 /03/ 26,ore 20.30,ASD Patr. San Giuseppe,-,Frassati Valle Sauglio,"Via Pietro Baiardi 4, Torino",,,,,,,,,,,,,
4+2,730184,dom 29 /03/ 26,ore 20.45,Kolbe GEN-YZ,-,Banane Magiche,Palestra Aprica via Bard 39 Torino,,,,,,,,,,,,,
4+2,730185,mer 25 /03/ 26,ore 21.30,Sinapsi,-,Frassati S.Carlo,Pal. Com. - Piazza della Concordia Givoletto TO ingresso retro pal.,,,,,,,,,,,,,

4+2,730186,mar 31 /03/ 26,ore 21.30,San Luigi Santena,-,Sinapsi,"Pal. Oratorio S.Luigi Santena via Vittorio Veneto,31 ingresso da via Milite Ignoto",,,,,,,,,,,,,
4+2,730187,gio 02 /04/ 26,ore 21.20,Frassati S.Carlo,-,Kolbe GEN-YZ,Palavauda -Viale Europa - Vauda C.se ingresso H 20.30,,,,,,,,,,,,,
4+2,730188,mar 31 /03/ 26,ore 20.30,Banane Magiche,-,ASD Patr. San Giuseppe,"Strada Contessa,90 Caselette",,,,,,,,,,,,,
4+2,730189,gio 09 /04/ 26,ore 21.00,Frassati Valle Sauglio,-,ASD Airasca Longobarda,"Ist. Flora Manfrinati - Str. Revigliasco, 69 - Moncalieri TO",,,,,,,,,,,,,
4+2,730190,mer 28 /01/ 26,ore 21.00,T.V.M.21 - Schiacciami Ancora,-,Virtus Gialla,"Scuola Colombo, Piazzetta Jona 4, TO - Max 3 ospiti a squadra",,,,,,,,,,,,,
